Distinct_Word,IDF,Block_1_tf,Block_1_tfidf,Block_2_tf,Block_2_tfidf,Block_3_tf,Block_3_tfidf,Block_4_tf,Block_4_tfidf,Block_5_tf,Block_5_tfidf,Block_6_tf,Block_6_tfidf,Block_7_tf,Block_7_tfidf
dog,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
value,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rather,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
associates,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
can,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enough,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
usually,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
meet,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.046,0.111,0.122
requires,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
or,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.074,0.077,0.085,0.0,0.0,0.0,0.0
software,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.074,0.0,0.0,0.042,0.046,0.0,0.0
